sector,ema_window,threshold,trades,win_rate,avg_profit,median_profit
Analog & Power Semis,60,0.02,432,0.5208333333333334,0.005423167916639123,0.005150202579387919
Analog & Power Semis,120,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,120,0.0025,85,0.5764705882352941,0.020420760592388947,0.02707260017413904
Analog & Power Semis,120,0.005,160,0.6,0.02034862103514763,0.024351304393358753
Analog & Power Semis,120,0.01,255,0.5647058823529412,0.01274365431894213,0.016494046034229104
Analog & Power Semis,120,0.02,329,0.5379939209726444,0.008591010158976436,0.008672142775494773
Analog & Power Semis,240,0.0,4,0.75,0.03587373160503396,0.04287121212535594
Analog & Power Semis,240,0.0025,73,0.4657534246575342,-0.009610639214671576,-0.012886597487665852
Analog & Power Semis,240,0.005,122,0.45901639344262296,-0.0034326990738052115,-0.009439048309772713
Analog & Power Semis,240,0.01,195,0.5333333333333333,0.007014151030531395,0.005786132812499956
Analog & Power Semis,240,0.02,293,0.5221843003412969,0.00798110935290876,0.005786132812499956
Networking & Optical,5,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,5,0.0025,447,0.6241610738255033,0.03126007775160409,0.028510875488089837
Networking & Optical,5,0.005,707,0.594059405940594,0.02654459931062108,0.02439973181880095
Networking & Optical,5,0.01,814,0.5749385749385749,0.029864618697196227,0.021906583346041675
Networking & Optical,5,0.02,631,0.5863708399366085,0.035030651469476766,0.03374830130937401
Networking & Optical,10,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,10,0.0025,292,0.6198630136986302,0.03609269535852,0.029553365022215394
Networking & Optical,10,0.005,459,0.5904139433551199,0.026691348557236025,0.024756384966573064
Networking & Optical,10,0.01,645,0.5906976744186047,0.02637093807134132,0.02304713637056799
Networking & Optical,10,0.02,639,0.5915492957746479,0.03113118376630121,0.03187252047670208
Networking & Optical,20,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,20,0.0025,184,0.6195652173913043,0.03356399746420334,0.02872954066629374
Networking & Optical,20,0.005,311,0.5755627009646302,0.024714357692152376,0.024797998293481616
Networking & Optical,20,0.01,450,0.5733333333333334,0.027295297321724983,0.021633076617937452
Networking & Optical,20,0.02,520,0.6,0.03163866539546794,0.027356314065514975
Networking & Optical,60,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,60,0.0025,97,0.5257731958762887,0.007038440399096423,0.009567156135466659
Networking & Optical,60,0.005,160,0.51875,0.007318057944550221,0.007742811562749474
Networking & Optical,60,0.01,223,0.547085201793722,0.015402713271875468,0.014011753768166768
Networking & Optical,60,0.02,289,0.5882352941176471,0.023175667193884364,0.02732022185016958
Networking & Optical,120,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,120,0.0025,56,0.6428571428571429,0.03891233076745303,0.05902579459386181
Networking & Optical,120,0.005,108,0.6203703703703703,0.03372586414612336,0.051383344766766315
Networking & Optical,120,0.01,159,0.6037735849056604,0.0378102428987615,0.037182384687753034
Networking & Optical,120,0.02,198,0.5959595959595959,0.028697384133769308,0.03290324362445274
Networking & Optical,240,0.0,4,0.75,0.01609539909690022,0.06178550772538105
Networking & Optical,240,0.0025,40,0.45,0.00163690251666746,-0.010870249646133812
Networking & Optical,240,0.005,69,0.5362318840579711,0.015947384854821733,0.004385194234865386
Networking & Optical,240,0.01,119,0.5630252100840336,0.019327387458234858,0.007695484979074685
Networking & Optical,240,0.02,157,0.5732484076433121,0.016106205547172646,0.006175535299999257
Thermal & Power Infrastructure,5,0.0,4,0.75,0.008242742663878033,0.019837407744522584
Thermal & Power Infrastructure,5,0.0025,416,0.5865384615384616,0.030153127065765947,0.02467427092061103
Thermal & Power Infrastructure,5,0.005,694,0.600864553314121,0.03503177939871439,0.026492428061274942
Thermal & Power Infrastructure,5,0.01,847,0.5997638724911453,0.03896464635436431,0.025897152482898145
Thermal & Power Infrastructure,5,0.02,652,0.5904907975460123,0.04802232183119754,0.031020599139529703
Thermal & Power Infrastructure,10,0.0,4,0.75,0.008242742663878033,0.019837407744522584
Thermal & Power Infrastructure,10,0.0025,254,0.6062992125984252,0.026861066184615073,0.027450077721261512
Thermal & Power Infrastructure,10,0.005,479,0.6242171189979123,0.03356678432284514,0.028627538367168137
Thermal & Power Infrastructure,10,0.01,647,0.60741885625966,0.03426995756962837,0.02355074545110747
Thermal & Power Infrastructure,10,0.02,676,0.5798816568047337,0.03713496919799006,0.02257658232260995
Thermal & Power Infrastructure,20,0.0,4,0.75,0.008242742663878033,0.019837407744522584
Thermal & Power Infrastructure,20,0.0025,173,0.5722543352601156,0.022456157659592982,0.026687839707557393
Thermal & Power Infrastructure,20,0.005,297,0.5824915824915825,0.021545284891019062,0.022577836038844445
Thermal & Power Infrastructure,20,0.01,449,0.5924276169265034,0.027430677121027515,0.022250158153878763
Thermal & Power Infrastructure,20,0.02,547,0.603290676416819,0.035636404325872666,0.02471392801062189
Thermal & Power Infrastructure,60,0.0,4,0.75,0.008242742663878033,0.019837407744522584
Thermal & Power Infrastructure,60,0.0025,74,0.6621621621621622,0.03918495165482423,0.0373882835653655
Thermal & Power Infrastructure,60,0.005,140,0.6285714285714286,0.037949664929134,0.033018430440122426
Thermal & Power Infrastructure,60,0.01,211,0.6540284360189573,0.04137400828847945,0.03543565210631705
Thermal & Power Infrastructure,60,0.02,290,0.6655172413793103,0.04333680896311298,0.03623118882900145
Thermal & Power Infrastructure,120,0.0,4,0.75,0.008242742663878033,0.019837407744522584
Thermal & Power Infrastructure,120,0.0025,50,0.64,0.05253613838825128,0.04197757212942199
