lookback,ma_window,top_k,rebalance_bars,total_return,cagr,sharpe,sortino,max_drawdown,win_rate,bench_total_return
20,20,3,10,0.4714072850081803,0.11718741532374577,0.5348868757952235,0.7891383289569666,-0.5663870289569484,0.4806378132118451,0.7821501425102448
20,20,5,10,0.19649276081160938,0.052819718200717514,0.32449940650645215,0.4768828663021164,-0.5720762922034741,0.4806378132118451,0.7821501425102448
20,60,2,10,0.7502859434736238,0.17422952496069866,0.6898051616212946,1.047693186471656,-0.6049720887828949,0.479498861047836,0.7821501425102448
60,20,5,10,0.5233571396807224,0.12836496640922923,0.5644844513636041,0.8363939034814314,-0.56875987926303,0.479498861047836,0.7821501425102448
20,60,5,10,0.17878195925877094,0.048324513816865755,0.30749496532035064,0.4528299035968668,-0.598637440439046,0.479498861047836,0.7821501425102448
20,60,5,5,0.16804109790366173,0.04557485269291095,0.29981258401117583,0.42706983542500865,-0.5500067223608407,0.479498861047836,0.7821501425102448
20,60,4,10,0.24069532689693895,0.06383546832816744,0.35832824746329944,0.5284603117998968,-0.6005490520671777,0.4772209567198178,0.7821501425102448
60,60,2,10,0.548638894540566,0.13370647216007536,0.5654708660982812,0.7746328380119093,-0.6260385594474905,0.47494305239179957,0.7821501425102448
60,60,4,10,0.3693634672643933,0.0943847841863068,0.45973054968170735,0.6416634889593543,-0.6340855900144731,0.47494305239179957,0.7821501425102448
60,20,3,10,0.8199219850289068,0.18744776051801715,0.7363270953404815,1.0960893997104615,-0.5475224297523077,0.47380410022779046,0.7821501425102448
60,20,2,5,0.6445642679860994,0.15342524462340035,0.6305813962924434,0.9271950566985017,-0.48350979669502026,0.47380410022779046,0.7821501425102448
20,60,3,5,0.39683458323798826,0.10063949569897712,0.483876656333367,0.704332530150139,-0.530025257954929,0.47380410022779046,0.7821501425102448
20,60,4,5,0.23969307371515658,0.0635888225373864,0.3618063909981497,0.5150253165494274,-0.531308272217395,0.47266514806378135,0.7821501425102448
40,60,4,10,-0.022261896697851613,-0.006438750840854435,0.11659587476496655,0.16580060869722127,-0.6563823225742478,0.4715261958997722,0.7821501425102448
60,60,3,10,0.5822900072554265,0.14072062803755236,0.597473430924024,0.8297080170495128,-0.6181756796463636,0.47038724373576307,0.7821501425102448
60,60,4,5,0.5558519061103038,0.13521901966721872,0.5964272626908697,0.8779925543848214,-0.592384907729191,0.47038724373576307,0.7821501425102448
60,60,5,10,0.44060938013459516,0.11042745562378653,0.5149967449083712,0.7373257162753212,-0.612648193488136,0.47038724373576307,0.7821501425102448
90,20,2,5,1.3821439874924621,0.2828028312710744,1.0044266992113025,1.4556940604067425,-0.45352740760160326,0.46924829157175396,0.7821501425102448
60,20,4,5,0.5313590958526806,0.13006240533215307,0.5735795810149918,0.8726767509331129,-0.4931517612221046,0.46924829157175396,0.7821501425102448
60,20,5,5,0.4439717531899625,0.11117045867725528,0.5163044951704404,0.7840862953832151,-0.5034780388179323,0.46924829157175396,0.7821501425102448
60,60,5,5,0.44110230720714516,0.11053645787569177,0.5199344565946452,0.7654950974665804,-0.5889184188736728,0.46810933940774485,0.7821501425102448
40,60,5,10,0.03676218208400939,0.010412409050793103,0.17712208176550354,0.2512046296972378,-0.6517427008422478,0.46810933940774485,0.7821501425102448
40,60,2,10,-0.05250445788058533,-0.015355390459178442,0.09786665605179126,0.12945994832478466,-0.6848505953642986,0.46810933940774485,0.7821501425102448
40,20,3,5,0.22707538065420807,0.06047148583440887,0.3492030953559731,0.5278594274881085,-0.5604612800476148,0.46697038724373574,0.7821501425102448
20,60,2,5,0.4202300808689181,0.10589746033327319,0.4949916730211645,0.7264306535900396,-0.5389104555186033,0.4646924829157175,0.7821501425102448
90,20,2,10,1.3398016909980162,0.27621867906078523,0.9881041193625578,1.4308779788195267,-0.4976630977436205,0.4635535307517084,0.7821501425102448
60,60,3,5,0.5848485440820055,0.14124955594630695,0.6057198394702215,0.8739271530730196,-0.5772422492491325,0.4635535307517084,0.7821501425102448
40,60,2,5,0.32399068045700163,0.08385529594694496,0.42738676323109875,0.5867933732232313,-0.6056350848072967,0.4635535307517084,0.7821501425102448
90,20,3,5,0.7878064777925393,0.18139727893532287,0.7363950264909414,1.0926274296045775,-0.49465226169621634,0.4624145785876993,0.7821501425102448
40,60,5,5,0.15269178640266223,0.041613959657974764,0.28619224652788916,0.40824566944732443,-0.5854824382574043,0.4624145785876993,0.7821501425102448
60,60,2,5,0.4297777379416312,0.1080254845876647,0.49544831134233397,0.7131638628398286,-0.5928148518901908,0.4612756264236902,0.7821501425102448
40,60,4,5,0.1827668039527861,0.04934009052368982,0.3134566199704571,0.45215766453424594,-0.5851596380384876,0.4612756264236902,0.7821501425102448
90,20,3,10,0.8821619456759293,0.19896019339655968,0.7872414861562196,1.15774160163939,-0.5109934196156529,0.4601366742596811,0.7821501425102448
60,20,3,5,0.5363615893840139,0.13112036366247115,0.5704927746982359,0.8503237171729147,-0.46253315396632544,0.4601366742596811,0.7821501425102448
90,60,3,5,0.43071189402285825,0.1082331486487591,0.5053016432559856,0.7379952073120485,-0.6371741868458967,0.45899772209567197,0.7821501425102448
90,60,3,10,0.35523641788045324,0.09113339807870569,0.450913153874127,0.6290358700112283,-0.6424223206493738,0.45899772209567197,0.7821501425102448
90,60,5,5,0.32283448268956305,0.08358364226911186,0.43020270794601906,0.6361330439372505,-0.600958276970192,0.45785876993166286,0.7821501425102448
40,60,3,10,-0.10157626565919398,-0.03026560434425929,0.03012004152097645,0.041991046792889536,-0.6750359782525828,0.45785876993166286,0.7821501425102448
90,60,4,5,0.4105618859105171,0.10373214926246299,0.497462958689618,0.731733524681509,-0.5917415746134285,0.45671981776765375,0.7821501425102448
90,20,4,5,0.6688183423956631,0.15828052835349338,0.6720225162823346,1.0037360496776062,-0.44965271519850225,0.45558086560364464,0.7821501425102448
20,120,5,5,0.5238004624959309,0.12845917374195115,0.5703618975385938,0.8297319806728646,-0.43370251181280106,0.45558086560364464,0.7821501425102448
90,60,2,10,0.42498063912294226,0.10695755674266927,0.4920813756427487,0.6909634654625282,-0.6183325720510864,0.45558086560364464,0.7821501425102448
90,60,4,10,0.17260042415328836,0.04674423362163349,0.3037941432186204,0.4236560106178621,-0.6320724038721739,0.4544419134396355,0.7821501425102448
90,60,2,5,0.42241485973969595,0.10638531156525155,0.4925723635855882,0.7148895755056061,-0.6226421472584265,0.4533029612756264,0.7821501425102448
